,0
0,4.761495590209961
1,4.582956790924072
2,4.557647228240967
3,4.531505107879639
4,4.506531715393066
5,4.482694149017334
6,4.459660053253174
7,4.438945293426514
8,4.417878150939941
9,4.3971147537231445
10,4.377564907073975
11,4.357759475708008
12,4.339846134185791
13,4.322896957397461
14,4.3055925369262695
15,4.288414478302002
16,4.272261619567871
17,4.2560343742370605
18,4.2397074699401855
19,4.224340438842773
20,4.209968566894531
21,4.195584774017334
22,4.180657386779785
23,4.1669230461120605
24,4.152793884277344
25,4.140469551086426
26,4.126163005828857
27,4.111800193786621
28,4.099773406982422
29,4.087015151977539
30,4.0759172439575195
31,4.063035011291504
32,4.04917049407959
33,4.0384674072265625
34,4.0251569747924805
35,4.014222621917725
36,4.002821922302246
37,3.991844654083252
38,3.9793167114257812
39,3.968094825744629
40,3.957843065261841
41,3.947600841522217
42,3.9359915256500244
43,3.9250094890594482
44,3.913759708404541
45,3.904167890548706
46,3.8913116455078125
47,3.8829588890075684
48,3.8710975646972656
49,3.8616154193878174
50,3.8510797023773193
51,3.8407435417175293
52,3.8308184146881104
53,3.8194971084594727
54,3.810739040374756
55,3.800353765487671
56,3.788414716720581
57,3.7788140773773193
58,3.768590211868286
59,3.760535478591919
60,3.7505440711975098
61,3.7392821311950684
62,3.7281715869903564
63,3.7174746990203857
64,3.7103090286254883
65,3.6989364624023438
66,3.6898083686828613
67,3.6802866458892822
68,3.6696553230285645
69,3.6607253551483154
70,3.6498401165008545
71,3.6402809619903564
72,3.633281946182251
73,3.6218557357788086
74,3.6151247024536133
75,3.6041297912597656
76,3.5951240062713623
77,3.5862081050872803
78,3.575493574142456
79,3.5675048828125
80,3.5579137802124023
81,3.549622058868408
82,3.540530204772949
83,3.5307390689849854
84,3.5239148139953613
85,3.5141890048980713
86,3.5045957565307617
87,3.4956471920013428
88,3.48675274848938
89,3.4781723022460938
90,3.4683380126953125
91,3.4591288566589355
92,3.4508578777313232
93,3.4419424533843994
94,3.4342966079711914
95,3.426568031311035
96,3.4166014194488525
97,3.4071896076202393
98,3.397697925567627
99,3.3893253803253174
